Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
ZZ Top,38,0.4570,12.07.1992,http://streamd.hitparade.ch/audio/0000000/0002476.mp3,,http://streamd.hitparade.ch/cdimages/zz_top-rough_boy_s.jpg,12.07.1992,http://youtu.be/Z_4ULKpkLNc,Rough Boy,0.67,0002476
ZZ Top,40,0.5520,13.02.1994,http://streamd.hitparade.ch/audio/0000000/0002742.mp3,,http://streamd.hitparade.ch/cdimages/zz_top-pincushion_s.jpg,13.02.1994,,Pincushion,0.67,0002742
Zweiland,64,0.4560,23.07.2017,http://streamd.hitparade.ch/audio/1670000/1677042.mp3,,http://streamd.hitparade.ch/cdimages/zweiland-komm_wir_heben_ab_s.jpg,23.07.2017,http://youtu.be/XjGp2dHOQtg,Komm wir heben ab,0.55,1677042
Züri West,26,-0.2260,05.05.1996,http://streamd.hitparade.ch/audio/0000000/0003209.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-sofa__rimini_s.jpg,28.04.1996,,Sofa / Rimini,-0.35,0003209
Züri West,62,-0.3350,19.02.2017,http://streamd.hitparade.ch/audio/1630000/1633871.mp3,ch,,19.02.2017,,Schachtar gäge Gent,-0.34,1633871
Züri West,73,-0.2910,24.10.2004,http://streamd.hitparade.ch/audio/0000000/0006324.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-roemer__puenktli_s.jpg,24.10.2004,,Römer / Pünktli,-0.25,0006324
Züri West,27,-0.3430,07.03.1999,http://streamd.hitparade.ch/audio/0000000/0003861.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-mojito__echo_s.jpg,28.02.1999,,Mojito / Echo,-0.34,0003861
Züri West,44,-0.3140,03.02.2008,http://streamd.hitparade.ch/audio/0410000/0410603.mp3,ch,,03.02.2008,,Johnny & Mary,-0.22,0410603
Züri West,42,-0.2610,11.04.2010,http://streamd.hitparade.ch/audio/0680000/0688168.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-gueggu_s.jpg,11.04.2010,http://youtu.be/TXdr80OqniE,Güggu,-0.25,0688168
Züri West,31,-0.3200,19.02.2012,http://streamd.hitparade.ch/audio/0970000/0972189.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-goeteborg_s.jpg,19.02.2012,http://youtu.be/2Gd4YIFM7ck,Göteborg,-0.32,0972189
