Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Züri West,4,0.5760,02.10.1994,http://streamd.hitparade.ch/audio/0000000/0002784.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-i_schaenke_dr_mis_haerz_s.jpg,01.05.1994,,I schänke dr mis Härz,0.83,0002784
Züri West,5,-0.2230,23.12.2007,http://streamd.hitparade.ch/audio/0360000/0365934.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-fische_versaenke_s.jpg,09.12.2007,,Fische versänke,-0.28,0365934
Zucchero Sugar Fornaciari,3,-0.3130,09.09.2001,http://streamd.hitparade.ch/audio/0000000/0004803.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_sugar_fornaciari-baila_(sexy_thing)_s.jpg,29.07.2001,http://youtu.be/QRDZjj7-tOk,Baila (Sexy Thing),-0.39,0004803
Zucchero & Paul Young,2,0.6180,07.07.1991,http://streamd.hitparade.ch/audio/0000000/0002273.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_paul_young-senza_una_donna_(without_a_woman)_s.jpg,09.06.1991,http://youtu.be/V69vs8JmXYM,Senza una donna (Without A Woman),0.51,0002273
Zlatko,5,0.8510,04.06.2000,http://streamd.hitparade.ch/audio/0000000/0004272.mp3,,http://streamd.hitparade.ch/cdimages/zlatko-ich_vermiss_dich_(wie_die_hoelle)_s.jpg,14.05.2000,,Ich vermiss' dich... (wie die Hölle),0.64,0004272
Zayn feat. Sia,1,-0.3270,08.10.2017,http://streamd.hitparade.ch/audio/1690000/1692596.mp3,,http://streamd.hitparade.ch/cdimages/zayn_feat_sia-dusk_till_dawn_s.jpg,17.09.2017,http://youtu.be/tt2k8PGm-TI,Dusk Till Dawn,-0.33,1692596
Zayn & Taylor Swift,2,-0.3880,19.02.2017,http://streamd.hitparade.ch/audio/1610000/1617096.mp3,,http://streamd.hitparade.ch/cdimages/zayn_taylor_swift-i_dont_wanna_live_forever_(fifty_shades_darker)_s.jpg,18.12.2016,http://youtu.be/7F37r50VUTQ,I Don't Wanna Live Forever (Fifty Shades Darker),-0.31,1617096
Zara Larsson,3,0.6940,20.12.2015,http://streamd.hitparade.ch/audio/1430000/1437540.mp3,,http://streamd.hitparade.ch/cdimages/zara_larsson-lush_life_s.jpg,11.10.2015,http://youtu.be/tD4HCZe-tew,Lush Life,0.79,1437540
Zager & Evans,1,0.4510,26.08.1969,http://streamd.hitparade.ch/audio/0000000/0000105.mp3,,http://streamd.hitparade.ch/cdimages/zager_evans-in_the_year_2525_s.jpg,19.08.1969,http://youtu.be/vdSqLfuRN18,In The Year 2525,0.50,0000105
Yvonne Catterfeld,1,0.6270,01.06.2003,http://streamd.hitparade.ch/audio/0000000/0005606.mp3,,http://streamd.hitparade.ch/cdimages/yvonne_catterfeld-fuer_dich_s.jpg,18.05.2003,,Für dich,0.29,0005606
Youssou N'Dour & Neneh Cherry,1,0.6380,17.07.1994,http://streamd.hitparade.ch/audio/0000000/0002816.mp3,,http://streamd.hitparade.ch/cdimages/youssou_ndour_neneh_cherry-7_seconds_s.jpg,26.06.1994,http://youtu.be/wqCpjFMvz-k,7 Seconds,0.50,0002816
Yolanda Be Cool & DCup,1,0.8660,08.08.2010,http://streamd.hitparade.ch/audio/0690000/0699935.mp3,,http://streamd.hitparade.ch/cdimages/yolanda_be_cool_dcup-we_no_speak_americano_s.jpg,04.07.2010,http://youtu.be/sHiQiFiFlB4,We No Speak Americano,0.49,0699935
Yello,5,0.7500,07.04.1985,http://streamd.hitparade.ch/audio/0000000/0001237.mp3,ch,http://streamd.hitparade.ch/cdimages/yello-vicious_games_s.jpg,24.03.1985,http://youtu.be/COrHxDsaTJI,Vicious Games,0.71,0001237
Yazz And The Plastic Population,2,0.7430,18.09.1988,http://streamd.hitparade.ch/audio/0000000/0001834.mp3,,http://streamd.hitparade.ch/cdimages/yazz_and_the_plastic_population-the_only_way_is_up_s.jpg,28.08.1988,,The Only Way Is Up,0.62,0001834
Yazoo,2,0.8010,24.10.1982,http://streamd.hitparade.ch/audio/0000000/0000880.mp3,,http://streamd.hitparade.ch/cdimages/yazoo-dont_go_s.jpg,03.10.1982,,Don't Go,0.65,0000880
Yannick,4,0.8540,09.07.2000,http://streamd.hitparade.ch/audio/0000000/0004306.mp3,,http://streamd.hitparade.ch/cdimages/yannick-ces_soirees_la_s.jpg,11.06.2000,http://youtu.be/dVVEDKztyxg,Ces soirées là,0.84,0004306
Yael Naim,5,0.5820,02.03.2008,http://streamd.hitparade.ch/audio/0380000/0380553.mp3,,http://streamd.hitparade.ch/cdimages/yael_naim-new_soul_s.jpg,20.01.2008,http://youtu.be/hhE7QMXRE1g,New Soul,0.59,0380553
Xzibit,5,0.9350,18.03.2001,http://streamd.hitparade.ch/audio/0000000/0004600.mp3,,http://streamd.hitparade.ch/cdimages/xzibit-x_s.jpg,18.02.2001,,X,0.83,0004600
XXL feat. Peter 'Cool Man' Steiner,4,-0.2750,12.03.1995,http://streamd.hitparade.ch/audio/0000000/0002925.mp3,ch,http://streamd.hitparade.ch/cdimages/xxl_feat_peter_cool_man_steiner-its_cool_man_s.jpg,08.01.1995,,It's Cool Man,-0.29,0002925
XEN & EAZ,2,-0.2820,06.12.2015,http://streamd.hitparade.ch/audio/1500000/1500919.mp3,ch,http://streamd.hitparade.ch/cdimages/xen_eaz-kei_zit_s.jpg,06.12.2015,,Kei Zit,-0.27,1500919
