Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
ZZ Top,20,0.6110,24.05.1992,http://streamd.hitparade.ch/audio/0000000/0002440.mp3,,http://streamd.hitparade.ch/cdimages/zz_top-viva_las_vegas_s.jpg,10.05.1992,http://youtu.be/gOoKzw3JSCM,Viva Las Vegas,0.67,0002440
ZZ Top,13,0.6550,05.08.1990,http://streamd.hitparade.ch/audio/0000000/0002135.mp3,,http://streamd.hitparade.ch/cdimages/zz_top-doubleback_s.jpg,01.07.1990,,Doubleback,0.57,0002135
Züri West,10,-0.2630,18.09.1994,http://streamd.hitparade.ch/audio/0000000/0002895.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-i_schaenke_dr_mis_haerz_-_remixed_s.jpg,18.09.1994,,I schänke dr mis Härz - Remixed,-0.38,0002895
Züri West,14,-0.2400,13.06.2004,http://streamd.hitparade.ch/audio/0000000/0006143.mp3,ch,http://streamd.hitparade.ch/cdimages/zueri_west-fingt_ds_glueck_eim_s.jpg,06.06.2004,,Fingt ds Glück eim?,-0.20,0006143
Zucchero with Randy Crawford,11,0.6380,29.03.1992,http://streamd.hitparade.ch/audio/0000000/0002396.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_with_randy_crawford-diamante_s.jpg,16.02.1992,,Diamante,0.49,0002396
Zucchero with Eric Clapton,17,-0.3790,10.11.1991,http://streamd.hitparade.ch/audio/0000000/0002336.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_with_eric_clapton-wonderful_world_s.jpg,10.11.1991,,Wonderful World,-0.24,0002336
Zucchero Sugar Fornaciari,19,0.5270,21.12.1997,http://streamd.hitparade.ch/audio/0000000/0003559.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_sugar_fornaciari-va_pensiero_s_1.jpg,09.11.1997,,"Va, pensiero",0.30,0003559
Zucchero Sugar Fornaciari,20,0.4810,01.09.1996,http://streamd.hitparade.ch/audio/0000000/0003281.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_sugar_fornaciari-my_love_s_1.jpg,25.08.1996,,My Love,0.13,0003281
Zucchero & Mousse T.,16,0.8370,13.06.2004,http://streamd.hitparade.ch/audio/0000000/0006137.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_mousse_t-il_grande_baboomba_s.jpg,30.05.2004,,Il grande baboomba,0.91,0006137
Zucchero & Maná,10,0.7460,16.04.2006,http://streamd.hitparade.ch/audio/0030000/0034406.mp3,,http://streamd.hitparade.ch/cdimages/zucchero_mana-baila_morena_s.jpg,12.03.2006,,Baila morena,0.87,0034406
Zlatko & Jürgen,8,0.4950,09.07.2000,http://streamd.hitparade.ch/audio/0000000/0004336.mp3,,http://streamd.hitparade.ch/cdimages/zlatko_juergen-grosser_bruder_s.jpg,02.07.2000,,Großer Bruder,0.90,0004336
Zippo,17,0.8150,02.04.1995,http://streamd.hitparade.ch/audio/0000000/0002980.mp3,,http://streamd.hitparade.ch/cdimages/zippo-time_s.jpg,02.04.1995,,Time,0.79,0002980
Zig & Zag,19,0.8490,26.02.1995,http://streamd.hitparade.ch/audio/0000000/0002953.mp3,,http://streamd.hitparade.ch/cdimages/zig_zag-them_girls_them_girls_s.jpg,12.02.1995,http://youtu.be/7bv_36P_f-w,"Them Girls, Them Girls",0.62,0002953
Zhi Vago,9,0.5670,16.06.1996,http://streamd.hitparade.ch/audio/0000000/0003215.mp3,,http://streamd.hitparade.ch/cdimages/zhi_vago-celebrate_the_love_s.jpg,12.05.1996,,Celebrate The Love,0.60,0003215
Zedd & Alessia Cara,16,0.6790,16.04.2017,http://streamd.hitparade.ch/audio/1630000/1638152.mp3,,http://streamd.hitparade.ch/cdimages/zedd_alessia_cara-stay_s.jpg,05.03.2017,http://youtu.be/yWEK4v9AVKQ,Stay,0.50,1638152
Zaz,15,0.5860,26.05.2013,http://streamd.hitparade.ch/audio/1120000/1122616.mp3,,http://streamd.hitparade.ch/cdimages/zaz-on_ira_s.jpg,28.04.2013,http://youtu.be/8IjWHBGzsu4,On ira,0.62,1122616
Zayn,15,0.5660,07.02.2016,http://streamd.hitparade.ch/audio/1520000/1520090.mp3,,http://streamd.hitparade.ch/cdimages/zayn-pillowtalk_s.jpg,07.02.2016,http://youtu.be/C_3d6GntKbk,Pillowtalk,0.43,1520090
Zara Larsson,8,0.5560,10.05.2015,http://streamd.hitparade.ch/audio/1100000/1104489.mp3,,http://streamd.hitparade.ch/cdimages/zara_larsson-uncover_s.jpg,22.03.2015,http://youtu.be/U-PXEe-qeK4,Uncover,0.31,1104489
Yvonne Catterfeld,15,0.5700,06.03.2005,http://streamd.hitparade.ch/audio/0000000/0006472.mp3,,http://streamd.hitparade.ch/cdimages/yvonne_catterfeld-glaub_an_mich_s.jpg,27.02.2005,,Glaub an mich,0.21,0006472
